id,Disctrict,AC,Block,Panchayat,,"""Village Name""",Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
414,Madhubani,Harlakhi,HARLAKHI,PHULHAR,8,Village Name,MANOHAR PUR,Shallow tubewell,Ground Water,Boelal Das S/O Late Singheshw ar Das Ghar Ke Pas,HandPump,MLC QOUTA HARLAKHI(0006393775)
415,Madhubani,Harlakhi,HARLAKHI,PHULHAR,9,Village Name,MANOHAR PUR,Shallow tubewell,Ground Water,B,HandPump,NC/PC HARLAKHI(0006534908)
416,Madhubani,Harlakhi,HARLAKHI,PHULHAR,10,Village Name,MANOHAR PUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006534908)
417,Madhubani,Harlakhi,HARLAKHI,PHULHAR,11,Village Name,MANOHAR PUR,Shallow tubewell,Ground Water,P.S.MANOHARPUR,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
418,Madhubani,Harlakhi,HARLAKHI,PHULHAR,12,Village Name,MANOHAR PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001979692)
419,Madhubani,Harlakhi,HARLAKHI,PHULHAR,13,Village Name,MANOHAR PUR,Deep tubewell,Ground Water,P.S.MANOHARPUR,HandPump,Spot Source(0002717858)
420,Madhubani,Harlakhi,HARLAKHI,PHULHAR,14,Village Name,MANOHAR PUR,Deep tubewell,Ground Water,P.S.MNOHARPUR,HandPump,Spot Sources(0002717861)
421,Madhubani,Harlakhi,HARLAKHI,PHULHAR,15,Village Name,MANOHAR PUR,Shallow tubewell,Ground Water,Karamchari Bhaw an Ke Niket,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
422,Madhubani,Harlakhi,HARLAKHI,PHULHAR,16,Village Name,GIRGA STHAN,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Harlakhi Spot Source Scheme(0004688904)
423,Madhubani,Harlakhi,HARLAKHI,PHULHAR,17,Village Name,GIRGA STHAN,Deep tubewell,Ground Water,Road Side Me,HandPump,Harlakhi Spot Source Scheme(0004713242)
424,Madhubani,Harlakhi,HARLAKHI,PHULHAR,18,Village Name,GIRGA STHAN,Deep tubewell,Ground Water,Mini Pw ss Phulhar,HandPump,Mini Pipe Water Sapply Scheme Electric Madhubani(0005017362)
425,Madhubani,Harlakhi,HARLAKHI,PHULHAR,19,Village Name,GIRGA STHAN,Deep tubewell,Ground Water,Girja Asthan Mini Pw ss Electric,PWS,Mini Pipe Water Sapply Scheme Electric(0004914681)
426,Madhubani,Harlakhi,HARLAKHI,PHULHAR,20,Village Name,GIRGA STHAN,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
427,Madhubani,Harlakhi,HARLAKHI,PHULHAR,21,Village Name,GIRGA STHAN,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
428,Madhubani,Harlakhi,HARLAKHI,PHULHAR,22,Village Name,GIRGA STHAN,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
429,Madhubani,Harlakhi,HARLAKHI,PHULHAR,23,Village Name,GIRGA STHAN,Deep tubewell,Ground Water,P.S.MANGARAITH GIRL,HandPump,SPOT SOURCE(0002717872)
430,Madhubani,Harlakhi,HARLAKHI,PHULHAR,24,Village Name,GIRGA STHAN,Shallow tubewell,Ground Water,Girja Asthan,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
431,Madhubani,Harlakhi,HARLAKHI,PHULHAR,25,Village Name,PHULHAR,Shallow tubewell,Ground Water,Aw c90,HandPump,Anganw ari Harlakhi Block(0005454584)
432,Madhubani,Harlakhi,HARLAKHI,PHULHAR,26,Village Name,PHULHAR,Shallow tubewell,Ground Water,Aw c92,HandPump,Anganw ari Harlakhi Block(0005454584)
433,Madhubani,Harlakhi,HARLAKHI,PHULHAR,27,Village Name,PHULHAR,Shallow tubewell,Ground Water,Aw c91,HandPump,Anganw ari Harlakhi Block(0005454584)
434,Madhubani,Harlakhi,HARLAKHI,PHULHAR,28,Village Name,PHULHAR,Shallow tubewell,Ground Water,Aw c97,HandPump,Anganw ari Harlakhi Block(0005454584)
435,Madhubani,Harlakhi,HARLAKHI,PHULHAR,29,Village Name,PHULHAR,Shallow tubewell,Ground Water,Aw c93,HandPump,Anganw ari Harlakhi Block(0005454584)
436,Madhubani,Harlakhi,HARLAKHI,PHULHAR,30,Village Name,PHULHAR,Deep tubewell,Ground Water,Road Side Me,HandPump,Bipat Lal Sada(0000048969)
437,Madhubani,Harlakhi,HARLAKHI,PHULHAR,31,Village Name,PHULHAR,Deep tubewell,Ground Water,Sadak Ke Bagal Me,HandPump,Harlakhi Spot Source Scheme(0004688904)
438,Madhubani,Harlakhi,HARLAKHI,PHULHAR,32,Village Name,PHULHAR,Deep tubewell,Ground Water,Road Side Me,HandPump,Harlakhi Spot Source Scheme(0004713242)
439,Madhubani,Harlakhi,HARLAKHI,PHULHAR,33,Village Name,PHULHAR,Shallow tubewell,Ground Water,Ram Ekbal Shukal S/O Ram Parijhan Shukal Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
440,Madhubani,Harlakhi,HARLAKHI,PHULHAR,34,Village Name,PHULHAR,Shallow tubewell,Ground Water,Mo Ibrahim Rayan S/O Mo Mostkim Rayan Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
441,Madhubani,Harlakhi,HARLAKHI,PHULHAR,35,Village Name,PHULHAR,Shallow tubewell,Ground Water,Baldev Sah S/O Manohar Sah Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
442,Madhubani,Harlakhi,HARLAKHI,PHULHAR,36,Village Name,PHULHAR,Shallow tubewell,Ground Water,Surendra Giri S/O Damodar Giri Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
443,Madhubani,Harlakhi,HARLAKHI,PHULHAR,37,Village Name,PHULHAR,Shallow tubewell,Ground Water,Birjmohan Yadav S/O Soudagar Yadav Ward No-6,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
444,Madhubani,Harlakhi,HARLAKHI,PHULHAR,38,Village Name,PHULHAR,Shallow tubewell,Ground Water,Shivlal Yadav S/O Choodhary Ward No-6,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
445,Madhubani,Harlakhi,HARLAKHI,PHULHAR,39,Village Name,PHULHAR,Shallow tubewell,Ground Water,Ramnandan Yadav S/O Bhola Yadav Dighya,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
446,Madhubani,Harlakhi,HARLAKHI,PHULHAR,40,Village Name,PHULHAR,Shallow tubewell,Ground Water,Rajkumar Sah S/O Sukdev Sah Ward No-7,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
447,Madhubani,Harlakhi,HARLAKHI,PHULHAR,41,Village Name,PHULHAR,Shallow tubewell,Ground Water,P.S.FULHAR GIRL,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
448,Madhubani,Harlakhi,HARLAKHI,PHULHAR,42,Village Name,PHULHAR,Shallow tubewell,Ground Water,N.P.S.PHULHAR WEST TOL,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
449,Madhubani,Harlakhi,HARLAKHI,PHULHAR,43,Village Name,PHULHAR,Shallow tubewell,Ground Water,M.S.FULHAR,HandPump,SCHOOL T/W- HARLAKHI-1(0006193183)
450,Madhubani,Harlakhi,HARLAKHI,PHULHAR,44,Village Name,PHULHAR,Shallow tubewell,Ground Water,P.S Piprauni Shekhtola,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
451,Madhubani,Harlakhi,HARLAKHI,PHULHAR,45,Village Name,PHULHAR,Shallow tubewell,Ground Water,P.S Dighiya,HandPump,SCHOOL T/W- HARLAKHI- 2( 006206012) .
452,Madhubani,Harlakhi,HARLAKHI,PHULHAR,46,Village Name,PHULHAR,Deep tubewell,Ground Water,U.P.S.MANGARAITH,HandPump,SPOT SOURCES(0002717875)
453,Madhubani,Harlakhi,HARLAKHI,PHULHAR,47,Village Name,PHULHAR,Deep tubewell,Ground Water,N.P.S.PHULHAR WEST TOL,HandPump,SPOT SOURCES(0002717876)
454,Madhubani,Harlakhi,HARLAKHI,PHULHAR,48,Village Name,PHULHAR,Deep tubewell,Ground Water,M.S.FULHAR,HandPump,SPOT SOURCES(0002717880)
455,Madhubani,Harlakhi,HARLAKHI,PHULHAR,49,Village Name,PHULHAR,Deep tubewell,Ground Water,P.S.FULHAR GIRL,HandPump,SPOT SOURCES(0002717884)
456,Madhubani,Harlakhi,HARLAKHI,PHULHAR,50,Village Name,PHULHAR,Deep tubewell,Ground Water,P.S.GOPALPUR,HandPump,SPOT SOURCES(0002717896)
457,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,1,Village Name,BARHARBA,Deep tubewell,Ground Water,Road Side Me,HandPump,Harlakhi Spot Source Scheme(0004688904)
458,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,2,Village Name,BARHARBA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Harlakhi Spot Source Scheme(0004713242)
459,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,3,Village Name,BARHARBA,Shallow tubewell,Ground Water,N.P.S.BAHARBAN TOL PIPRAUN,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
460,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,4,Village Name,BARHARBA,Deep tubewell,Ground Water,N.P.S.BAHARBAN TOL PIPRAUN,HandPump,SPOT SOURCES(0002717882)
461,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,5,Village Name,BARHARBA,Deep tubewell,Ground Water,P.S.PIPRAUN SHEKHTOLA,HandPump,SPOT SOURCES(0002717892)
462,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,6,Village Name,BIN TOL,Deep tubewell,Ground Water,Road Side Me,HandPump,Hand Pump Scheme(0004690566)
463,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,7,Village Name,BIN TOL,Shallow tubewell,Ground Water,N.P.S.DURGAPATTI WEST TOLA,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
464,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,8,Village Name,BIN TOL,Shallow tubewell,Ground Water,P.S.PIPRAUN HARIJA,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
465,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,9,Village Name,BIN TOL,Deep tubewell,Ground Water,P.S.PIPRAUN HARIJA,HandPump,SPOT SOURCES(0002717900)
466,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,10,Village Name,BIN TOL,Deep tubewell,Ground Water,N.P.S.DURGAPATTI WEST TOLA,HandPump,SPOT SOURCES(0002717904)
467,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,11,Village Name,DIGHIA,Shallow tubewell,Ground Water,P.S.DURGAPATTI URDU,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
468,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,12,Village Name,DIGHIA,Deep tubewell,Ground Water,P.S.DIGHIYA,HandPump,SPOT SOURCES(0002717924)
469,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,13,Village Name,DIGHIA,Deep tubewell,Ground Water,P.S.DURGAPATTI URDU,HandPump,SPOT SOURCES(0002717937)
470,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,14,Village Name,DIGHIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968600)
471,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,15,Village Name,DIGHIA,Shallow tubewell,Ground Water,Pokhar Bhinda Par Sadak Kinare,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
472,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,16,Village Name,MAHTO TOL,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
473,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,17,Village Name,MAHTO TOL,Shallow tubewell,Ground Water,Sadak Ke Bagal Me,HandPump,NC/PC HARLAKHI(0005699573)
474,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,18,Village Name,MAHTO TOL,Shallow tubewell,Ground Water,Sadak Ke Pas,HandPump,NC/PC HARLAKHI(0005699573)
475,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,19,Village Name,MAHTO TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002674928)
476,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,20,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Krishna Kumar Misra Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
477,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,21,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Ranvir Kumar Singh S/O Ram Ekbal Singh Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
478,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,22,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Parmod Parsad Gupta S/O Bisw anath Gupta Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
479,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,23,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Ramchandra Mahto S/O Moje Mahto Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
480,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,24,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Ram Kumar Ray S/O Ram Parsad Ray Ghar Ke Pas Durgipatti,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
481,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,25,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Ghuran Thakur Ward No-12,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
482,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,26,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Dharmnath Parsad Singh S/O Harinandan Parsad Singh Ward No-6,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
483,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,27,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Shiv Kishor Mahto S/O Uchit Lal Mahto Ward No-10,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
484,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,28,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Rakesh Mahto S/O Surendar Mahto Kamla Nahar Hanuman Mandir,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
485,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,29,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Dinesh Mahto S/O Met Ramesw ar Mahto Ward No-10,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
486,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,30,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Shambhu Nath Parsad Singh Ke Ghar Ke Niket,HandPump,MLC QOUTA HARLAKHI(0006393775)
487,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,31,Village Name,PIPRAUN,Shallow tubewell,Ground Water,P.S.PIPRAUN GIRL,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
488,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,32,Village Name,PIPRAUN,Shallow tubewell,Ground Water,M.S. Piraun,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
489,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,33,Village Name,PIPRAUN,Shallow tubewell,Ground Water,U.M.S Durgapatti,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
490,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,34,Village Name,PIPRAUN,Shallow tubewell,Ground Water,N.P.S Pipron East Tol,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
491,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,35,Village Name,PIPRAUN,Deep tubewell,Ground Water,M.S. Piraun,HandPump,SPOT SOURCES(0002717941)
492,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,36,Village Name,PIPRAUN,Deep tubewell,Ground Water,N.P.S.PIPRAON TOL,HandPump,SPOT SOURCES(0002717943)
493,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,37,Village Name,PIPRAUN,Deep tubewell,Ground Water,U.P.S.DURGAPATTI,HandPump,SPOT SOURCES(0002717945)
494,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,38,Village Name,PIPRAUN,Deep tubewell,Ground Water,P.S.PIPRAUN GIRL,HandPump,SPOT SOURCES(0002717955)
495,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,39,Village Name,PIPRAUN,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968600)
496,Madhubani,Harlakhi,HARLAKHI,PIPRAUN,40,Village Name,PIPRAUN,Shallow tubewell,Ground Water,Karamchari Bhaw an Ke Niket,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
497,Madhubani,Harlakhi,MADHWAPUR,UTTARA,1,Village Name,MINTI,Shallow tubewell,Ground Water,Aw c Center No.25,HandPump,Anganw ari Madhw apur Block(0005469665)
498,Madhubani,Harlakhi,MADHWAPUR,UTTARA,2,Village Name,MINTI,Shallow tubewell,Ground Water,Aw c Center No.24,HandPump,Anganw ari Madhw apur Block(0005469665)
499,Madhubani,Harlakhi,MADHWAPUR,UTTARA,3,Village Name,MINTI,Shallow tubewell,Ground Water,Parsuram Thakur S/O Bindeshw ar Thakur Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
500,Madhubani,Harlakhi,MADHWAPUR,UTTARA,4,Village Name,MINTI,Shallow tubewell,Ground Water,Jibach Pasw an S/O Surti Pasw an Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
501,Madhubani,Harlakhi,MADHWAPUR,UTTARA,5,Village Name,MINTI,Shallow tubewell,Ground Water,Sanjay Kumar Suman S/O Devendra Lal Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
502,Madhubani,Harlakhi,MADHWAPUR,UTTARA,6,Village Name,MINTI,Shallow tubewell,Ground Water,Laxman Mahto S/O Ram Bilash Mahto Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
503,Madhubani,Harlakhi,MADHWAPUR,UTTARA,7,Village Name,MINTI,Shallow tubewell,Ground Water,Subash Tiw ari S/O Thakur Tiw ari Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
504,Madhubani,Harlakhi,MADHWAPUR,UTTARA,8,Village Name,MINTI,Shallow tubewell,Ground Water,Hira Lal Mandal S/O Ramjatan Mandal Utraa,HandPump,MLA QUOTA- MADHWAPUR- 3(0005785372)
505,Madhubani,Harlakhi,MADHWAPUR,UTTARA,9,Village Name,MINTI,Shallow tubewell,Ground Water,Bikash Bhagat S/O Ramgulam Bgagat Uttra,HandPump,MLA QUOTA- MADHWAPUR- 3(0005785372)
506,Madhubani,Harlakhi,MADHWAPUR,UTTARA,10,Village Name,MINTI,Shallow tubewell,Ground Water,Dighya Tol Uttra,HandPump,MLA QUOTA- MADHWAPUR- 3(0005785372)
507,Madhubani,Harlakhi,MADHWAPUR,UTTARA,11,Village Name,MINTI,Shallow tubewell,Ground Water,Sadaak Kinare,HandPump,NC/PC MADHWAPUR- 2(0005705584)
508,Madhubani,Harlakhi,MADHWAPUR,UTTARA,12,Village Name,MINTI,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
509,Madhubani,Harlakhi,MADHWAPUR,UTTARA,13,Village Name,MINTI,Shallow tubewell,Ground Water,Mandir Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
510,Madhubani,Harlakhi,MADHWAPUR,UTTARA,14,Village Name,MINTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,SPOT,Nc/Pc Scheme For Madhw apur Block(0004563492)
511,Madhubani,Harlakhi,MADHWAPUR,UTTARA,15,Village Name,MINTI,Shallow tubewell,Ground Water,N.P.S Sanyasi Tol,HandPump,SCHOOL T/W- MADHWAPUR(0006179891)
512,Madhubani,Harlakhi,MADHWAPUR,UTTARA,16,Village Name,MINTI,Shallow tubewell,Ground Water,N.P.S Gansara Pokhar,HandPump,SCHOOL T/W- MADHWAPUR(0006179891)
513,Madhubani,Harlakhi,MADHWAPUR,UTTARA,17,Village Name,MINTI,Shallow tubewell,Ground Water,M.S Utra,HandPump,SCHOOL T/W- MADHWAPUR(0006179891)
514,Madhubani,Harlakhi,MADHWAPUR,UTTARA,18,Village Name,MINTI,Shallow tubewell,Ground Water,P.S Utra Mushari,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
515,Madhubani,Harlakhi,MADHWAPUR,UTTARA,19,Village Name,MINTI,Shallow tubewell,Ground Water,P.S Utra Girl,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
516,Madhubani,Harlakhi,MADHWAPUR,UTTARA,20,Village Name,MINTI,Shallow tubewell,Ground Water,P.S Mhinti,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
517,Madhubani,Harlakhi,MADHWAPUR,UTTARA,21,Village Name,MINTI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source (Ht) Scheme(0004690854)
518,Madhubani,Harlakhi,MADHWAPUR,UTTARA,22,Village Name,MINTI,Shallow tubewell,Ground Water,UCHAY VIDYALAYA UTTRA,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W MADHWAPUR(0006682296)
519,Madhubani,Harlakhi,MADHWAPUR,UTTARA,23,Village Name,MINTI,Shallow tubewell,Ground Water,U. V. UTTARA,HandPump,SUSTABABLE MADHWAPUR(0006499061)
520,Madhubani,Harlakhi,MADHWAPUR,UTTARA,24,Village Name,MINTI,Shallow tubewell,Ground Water,RAJKUMARI DEVI,HandPump,SUSTABABLE MADHWAPUR(0006499061)
521,Madhubani,Harlakhi,MADHWAPUR,UTTARA,25,Village Name,RATAULI,Shallow tubewell,Ground Water,Asesar Yadav S/O Sury Narayan Yadav,HandPump,MLA QUOTA- MADHWAPUR- 3(0005785372)
522,Madhubani,Harlakhi,MADHWAPUR,UTTARA,26,Village Name,RATAULI,Shallow tubewell,Ground Water,Jibach Yadav S/O Ayodhi Yadav,HandPump,MLA QUOTA- MADHWAPUR- 3(0005785372)
523,Madhubani,Harlakhi,MADHWAPUR,UTTARA,27,Village Name,RATAULI,Shallow tubewell,Ground Water,P.S Ratauli,HandPump,SCHOOL T/W- MADHWAPUR(0006559490)
524,Madhubani,Harlakhi,MADHWAPUR,UTTARA,28,Village Name,RATAULI,Shallow tubewell,Ground Water,P.S Ratauli Chatra Tol,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
525,Madhubani,Harlakhi,MADHWAPUR,UTTARA,29,Village Name,RATAULI,Shallow tubewell,Ground Water,P.S Ratauli,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
526,Madhubani,Harlakhi,MADHWAPUR,UTTARA,30,Village Name,RATAULI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Smt.Sujait Devi(0000046293)
527,Madhubani,Harlakhi,MADHWAPUR,UTTARA,31,Village Name,RATAULI,Deep tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,Spot Source (Ht) Scheme(0004690854)
528,Madhubani,Harlakhi,MADHWAPUR,UTTARA,32,Village Name,RATAULI,Deep tubewell,Ground Water,Mushari Me,HandPump,Sri Bhadri Yadav / Siman Inar(0000046298)
529,Madhubani,Harlakhi,MADHWAPUR,UTTARA,33,Village Name,RATAULI,Deep tubewell,Ground Water,Road Side Me,HandPump,Sri Julum Ram(0000046296)
530,Madhubani,Harlakhi,MADHWAPUR,UTTARA,34,Village Name,RATAULI,Deep tubewell,Ground Water,Mandir Me,HandPump,Sri Laxmi Kant Jha(0000046303)
531,Madhubani,Harlakhi,MADHWAPUR,UTTARA,35,Village Name,RATAULI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Sri Lochan Pandit(0000046301)
532,Madhubani,Harlakhi,MADHWAPUR,UTTARA,36,Village Name,RATAULI,Shallow tubewell,Ground Water,Sukhdev Mandir,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W MADHWAPUR(0006351784)
533,Madhubani,Harlakhi,MADHWAPUR,UTTARA,37,Village Name,RATAULI,Shallow tubewell,Ground Water,Sukhdev Chamar,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W MADHWAPUR(0006351784)
534,Madhubani,Harlakhi,MADHWAPUR,UTTARA,38,Village Name,RATAULI,Shallow tubewell,Ground Water,SONE YADAV,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W MADHWAPUR(0006682296)
535,Madhubani,Harlakhi,BENIPATTI,MANDAUR,1,Village Name,DURGOLI,Shallow tubewell,Ground Water,Jageshw ar Yadav S/O Pulkit Yadav Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
536,Madhubani,Harlakhi,BENIPATTI,MANDAUR,2,Village Name,DURGOLI,Shallow tubewell,Ground Water,Ramu Pasw an Ke Ghar Ke Niket,HandPump,MLA QUOTA- BENIPATTI- 2(0005511802)
537,Madhubani,Harlakhi,BENIPATTI,MANDAUR,3,Village Name,DURGOLI,Shallow tubewell,Ground Water,Badri Kamat Ke Ghar Ke Niket,HandPump,MLA QUOTA- BENIPATTI- 2(0005511802)
538,Madhubani,Harlakhi,BENIPATTI,MANDAUR,4,Village Name,DURGOLI,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 2(0007086483)
539,Madhubani,Harlakhi,BENIPATTI,MANDAUR,5,Village Name,DURGOLI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001979154)
540,Madhubani,Harlakhi,BENIPATTI,MANDAUR,6,Village Name,DURGOLI,Shallow tubewell,Ground Water,Chouraha Mad Nathuni Mishra,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI- 3(0006134747)
541,Madhubani,Harlakhi,BENIPATTI,MANDAUR,7,Village Name,GABIPUR,Shallow tubewell,Ground Water,Mo Sadif S/O Mo Jan Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
542,Madhubani,Harlakhi,BENIPATTI,MANDAUR,8,Village Name,GABIPUR,Shallow tubewell,Ground Water,Radheshyam Jha S/O adhukant Jha Ghar Ke Pas T,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
543,Madhubani,Harlakhi,BENIPATTI,MANDAUR,9,Village Name,GABIPUR,Shallow tubewell,Ground Water,Shanti Misra Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
544,Madhubani,Harlakhi,BENIPATTI,MANDAUR,10,Village Name,GABIPUR,Shallow tubewell,Ground Water,Ganga Ray Ghar Ke Niket,HandPump,MLA QUOTA- BENIPATTI- 2(0005511802)
545,Madhubani,Harlakhi,BENIPATTI,MANDAUR,11,Village Name,GABIPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002682789)
546,Madhubani,Harlakhi,BENIPATTI,MANDAUR,12,Village Name,MANDAUR,Shallow tubewell,Ground Water,Asarfi Mukhya S/O Aghnu Mukhya Ghar Ke Pas South Tol,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
